ORDER_ID,CUSTOMER_ID,BOOK_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT
2,137,301,2023-01-23,10,216.60
4,433,343,2023-11-25,7,301.21
6,439,119,2024-10-11,5,249.40
9,109,407,2024-01-04,9,379.71
15,127,479,2023-01-10,6,229.62
19,496,60,2023-11-17,9,316.26
28,151,423,2024-11-27,8,205.04
29,305,446,2023-10-05,8,275.92
30,438,248,2023-09-23,6,281.94
31,386,279,2024-03-12,8,244.00
36,417,260,2024-01-21,9,446.31
39,488,422,2024-08-03,8,367.28
41,418,147,2024-05-05,8,361.60
43,199,305,2024-03-25,7,221.62
60,404,49,2023-04-26,9,445.50
62,364,324,2024-04-06,5,230.40
63,16,469,2024-04-13,9,209.25
64,348,160,2024-07-19,10,344.80
65,54,198,2023-05-06,9,201.42
66,180,323,2023-09-08,8,286.64
67,260,129,2023-04-20,9,366.66
68,246,319,2023-03-21,10,426.10
70,49,447,2023-05-29,6,217.50
71,500,438,2024-06-11,8,267.12
74,461,132,2023-04-08,10,204.60
76,470,466,2024-09-02,10,371.70
77,497,242,2024-03-20,7,236.53
81,383,325,2024-02-13,5,202.00
82,413,387,2023-03-08,5,237.10
83,457,335,2024-01-16,8,378.32
84,280,49,2024-07-05,6,297.00
91,226,142,2024-10-13,10,489.60
92,329,325,2023-02-24,5,202.00
94,136,88,2024-07-06,6,241.32
97,408,221,2023-07-15,10,248.10
102,295,300,2023-05-10,9,241.83
111,174,450,2024-08-25,7,320.25
123,495,437,2024-03-10,5,221.45
124,272,122,2024-05-17,10,307.50
127,267,295,2024-08-24,7,200.62
134,94,222,2023-04-02,7,207.13
135,174,99,2024-01-24,10,469.30
137,474,471,2023-11-25,8,363.04
143,443,201,2023-10-04,7,260.75
145,340,477,2024-09-10,8,221.68
161,227,42,2024-01-13,5,241.75
162,295,298,2023-05-21,7,326.62
168,324,36,2023-01-11,10,345.10
169,81,415,2024-02-04,10,295.10
170,121,77,2023-05-06,10,442.80
171,364,397,2023-01-12,10,281.50
173,399,61,2023-07-01,5,205.25
176,86,479,2023-09-19,6,229.62
178,70,298,2023-05-03,10,466.60
180,460,227,2023-01-20,7,267.19
186,167,120,2023-04-03,7,336.21
189,107,240,2024-07-11,6,299.40
193,474,36,2023-03-31,7,241.57
194,463,340,2024-11-04,5,249.90
196,214,468,2023-04-03,7,214.13
197,256,32,2024-05-25,10,215.60
199,429,18,2024-09-30,10,394.70
208,13,101,2024-05-21,6,290.94
209,346,449,2024-01-03,10,401.70
211,397,209,2024-01-17,10,486.70
213,325,447,2023-11-17,7,253.75
223,213,31,2022-12-17,10,212.30
226,437,35,2024-01-25,9,286.29
229,82,482,2024-02-09,7,223.72
233,403,181,2024-04-28,7,271.11
236,375,265,2024-11-04,9,419.40
237,47,199,2023-08-15,7,299.67
240,457,492,2023-05-30,10,440.70
242,416,410,2023-06-15,9,398.97
243,82,350,2024-08-02,10,316.70
245,386,97,2023-11-01,9,411.66
247,77,142,2024-03-07,10,489.60
248,312,285,2023-09-09,9,248.85
250,63,65,2023-09-16,9,204.30
252,405,387,2023-11-15,5,237.10
256,225,174,2024-05-30,9,340.47
261,200,288,2023-07-25,8,223.28
265,258,100,2024-09-17,9,449.01
266,167,426,2023-06-02,10,328.20
267,467,390,2024-08-30,9,359.64
270,120,82,2024-04-13,7,319.90
273,357,119,2022-12-14,8,399.04
278,111,71,2024-11-18,9,346.50
279,204,339,2024-11-13,9,391.59
280,181,377,2023-05-11,8,318.32
283,277,471,2024-10-31,8,363.04
298,359,73,2024-08-22,10,212.30
302,348,80,2024-02-29,6,209.04
308,499,485,2023-02-19,10,231.60
309,185,227,2022-12-29,8,305.36
311,198,80,2024-03-05,7,243.88
312,209,208,2023-04-23,10,250.00
313,57,105,2023-10-11,8,240.16
315,281,119,2023-03-22,8,399.04
317,400,88,2023-01-06,10,402.20
318,353,84,2024-01-31,8,356.72
330,265,65,2023-01-10,10,227.00
334,193,339,2024-03-01,6,261.06
335,184,334,2023-06-05,7,249.76
340,460,222,2023-03-02,8,236.72
346,122,240,2024-03-10,8,399.20
353,14,360,2023-08-03,5,246.70
355,437,443,2023-10-23,6,264.30
357,163,150,2023-07-06,9,287.55
358,474,45,2023-01-30,8,203.92
368,17,488,2023-05-17,10,491.50
374,418,64,2024-04-28,9,216.90
381,485,377,2023-07-22,8,318.32
385,379,110,2024-07-18,9,271.35
390,94,73,2023-10-01,10,212.30
391,30,330,2023-05-20,8,256.16
395,159,443,2024-05-27,9,396.45
396,59,424,2023-04-09,6,243.00
398,273,334,2023-07-21,9,321.12
399,318,393,2022-12-27,9,396.00
400,239,33,2024-04-05,10,350.60
402,199,323,2022-12-25,8,286.64
403,98,398,2024-11-17,10,334.10
404,457,191,2024-10-02,10,421.90
410,364,462,2024-12-01,5,246.15
411,486,208,2023-10-29,8,200.00
412,24,103,2024-06-16,5,216.25
423,11,349,2024-01-10,5,221.80
427,287,434,2023-09-11,7,319.06
428,214,175,2023-02-16,10,328.50
437,183,360,2023-10-31,6,296.04
440,195,343,2023-08-31,9,387.27
442,57,129,2023-05-20,8,325.92
443,425,108,2024-04-30,10,253.80
445,21,384,2024-04-16,8,271.36
450,451,288,2023-05-18,8,223.28
453,22,418,2023-04-19,8,255.04
454,386,186,2024-06-14,8,330.64
457,387,147,2024-03-17,10,452.00
459,163,422,2024-08-17,10,459.10
468,162,237,2023-11-22,6,242.58
469,158,97,2024-01-01,6,274.44
471,79,7,2022-12-13,5,218.15
474,194,138,2023-03-24,9,222.93
479,328,197,2023-12-26,7,301.21
481,405,353,2023-07-07,10,469.70
482,2,429,2024-08-31,7,298.06
484,500,274,2023-08-31,6,292.80
489,211,471,2023-02-22,5,226.90
491,425,72,2023-10-14,10,465.40
492,284,120,2024-04-28,10,480.30
